Row Labels,Sum of Quantity
8,210
9,307
10,259
11,311
12,222
13,13
7/12/2021,953
7,45
8,166
9,70
10,124
11,181
12,169
13,27
16,36
17,53
18,62
19,20
7/13/2021,841
7,48
8,93
9,107
10,161
11,132
12,130
13,10
16,64
17,51
18,37
19,8
7/14/2021,1145
7,23
8,213
9,241
10,254
11,233
12,173
13,8
7/15/2021,976
7,28
8,154
9,142
10,173
11,143
12,162
13,23
16,54
17,45
18,45
19,7
7/16/2021,890
7,7
8,154
9,116
10,178
11,141
12,142
13,23
15,1
16,35
17,37
18,46
19,10
7/17/2021,1250
7,74
8,234
9,177
10,224
11,196
12,149
13,25
15,3
16,52
17,62
18,38
19,16
7/18/2021,1243
7,47
8,311
9,313
10,274
11,146
12,144
13,8
7/19/2021,982
7,75
8,215
9,113
10,136
11,165
12,160
13,25
16,16
17,24
18,40
19,13
7/20/2021,928
7,61
8,179
9,156
10,154
11,145
12,90
13,47
16,23
17,21
18,41
19,11
7/21/2021,873
7,48
8,111
9,131
10,142
11,179
12,114
13,24
16,30
17,49
18,31
19,14
7/22/2021,898
7,47
8,153
9,150
10,105
11,176
12,100
13,8
16,43
17,52
18,50
19,14
7/23/2021,947
7,63
8,130
9,179
10,118
11,193
12,111
13,19
16,40
17,37
18,40
19,17
7/24/2021,1191
7,72
8,230
9,225
10,159
11,167
12,150
13,20
16,71
17,49
18,41
19,7
7/25/2021,1387
7,81
8,279
9,256
10,274
11,346
12,141
13,10
7/26/2021,1003
7,42
8,149
9,115
10,187
11,100
12,150
13,47
16,50
17,68
18,82
19,13
7/27/2021,877
7,39
8,121
9,86
10,173
11,183
12,124
13,29
16,27
17,54
18,15
19,26
7/28/2021,926
7,69
8,134
9,124
10,157
11,142
12,109
13,31
16,39
17,60
18,46
19,15
7/29/2021,887
7,44
8,111
9,131
10,134
11,156
12,133
13,32
16,36
17,43
18,55
19,12
7/30/2021,962
7,81
8,118
9,98
10,114
11,157
12,134
13,31
16,66
17,112
18,39
19,12
7/31/2021,1100
7,76
8,118
9,190
10,171
11,209
12,131
13,17
15,5
16,28
17,55
18,86
19,14
8/1/2021,1330
7,53
8,286
9,265
10,242
11,321
12,163
8/2/2021,1048
7,45
8,142
9,247
10,207
11,195
12,200
13,12
8/3/2021,1166
7,51
8,190
9,169
10,167
11,228
12,111
13,29
16,82
17,47
18,77
19,15
8/4/2021,909
7,21
8,92
9,151
10,152
11,149
12,164
13,32
16,54
17,54
18,27
19,13
8/5/2021,1003
7,42
8,158
9,122
10,117
11,214
12,172
13,26
16,46
17,50
18,42
19,14
8/6/2021,949
7,67
8,112
9,95
10,135
11,176
12,129
13,44
16,49
17,48
18,78
19,16
8/7/2021,1187
7,78
8,145
9,142
10,208
11,183
12,192
13,45
16,51
17,52
18,65
19,26
8/8/2021,1490
7,69
8,250
9,287
10,360
11,279
12,233
13,12
8/9/2021,1218
7,54
8,288
9,130
10,194
11,210
12,173
13,31
16,40
17,62
18,36
8/10/2021,1051
7,47
8,189
9,178
10,146
11,199
12,106
13,31
